Name,Category,Safety statement,Classification 1,Classification 2,Classification 3
abacavir,B3,,Antimicrobials,Antiviral agents,
abacavir / dolutegravir / lamivudine,B3,,Antimicrobials,Antiviral agents,
abacavir / lamivudine / zidovudine,B3,,Antimicrobials,Antiviral agents,
abacavir/ lamivudine,B3,,Antimicrobials,Antiviral agents,
abatacept,C,,Allergy and Immune System,Immunomodifiers,
abciximab,C,All anticoagulants and thrombolytic agents can produce placental haemorrhage and subsequent prematurity and fetal loss.,Cardiovascular System,Anticoagulants and thrombolytic agents,
abemaciclib,D,"Based on results from animal studies and its mechanism of action, abemaciclib may harm the foetus. ",Antineoplastic Agents,,
abiraterone,D,Antiandrogens carry the potential for feminisation of the male fetus at or after 8 weeks post conception and exposure should be avoided during pregnancy.,Endocrine System,Antiandrogens,
acalabrutinib,C,"Based on findings in animals, acalabrutinib may cause fetal harm.",Antineoplastic Agents,Tyrosine kinase inhibitors,
acamprosate,B2,,"Detoxifying Agents, Antidotes ",,
acarbose,B3,,Endocrine System,Hypoglycaemic agents,
acetazolamide,B3,,Cardiovascular System,Diuretics,Carbonic anhydrase inhibitor
acetazolamide (ophthalmic),B3,,Ophthalmic Drugs,,
acetylcholine,B2,,Ophthalmic Drugs,,
acetylcysteine,B2,,Respiratory System,,
acetylcysteine (inhaled),B2,,Respiratory System,Expectorants and mucolytics,
acetylcysteine (intravenous),B2,,"Detoxifying Agents, Antidotes ",,
aciclovir,B3,,Antimicrobials,Antiviral agents,
aciclovir (topical),B3,,Drugs used in Dermatology,Topical antiviral,
acitretin,X,"This drug is teratogenic at doses within the therapeutic range. The drug is stored in the body for several months after cessation. Because of the long half-life of this drug and storage in fat, patients are advised not to conceive until two years after cessation of treatment because of risk of birth defects. Should pregnancy occur during treatment with this drug, there is a high risk of birth defects.",Drugs used in Dermatology,Systemic,
aclidinium bromide,B3,,Respiratory System,Inhalational agents,Bronchospasm relaxants
aclidinium bromide / eformoterol fumarate,B3,,Respiratory System,Inhalational agents,
actinomycin D (dactinomycin),D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Antibiotic cytotoxic agents,
adalimumab,C,"Adalimumab crosses the placental barrier. Due to its inhibition of TNFalpha, adalimumab administered during pregnancy could affect immune response in the in utero-exposed newborn and infant.",Allergy and Immune System,Immunomodifiers,
adapalene,D,"There have been isolated reports of birth defects in babies born to women using this drug. Because of the potential risk of adverse effects on fetal development, adapalene should not be used by women who are pregnant or who plan to become pregnant during treatment.",Drugs used in Dermatology,Topical,
adefovir,B3,,Antimicrobials,Antiviral agents,
adenosine,B2,,Cardiovascular System,Antiarrhythmics,
adrenaline (epinephrine),A,,Cardiovascular System,Adrenergic stimulants,
afamelanotide,B1,,Drugs Used in Dermatology,Systemic,
afatinib,C,This drug inhibits EGFR. EGFR plays an important role in embryofetal development.,Antineoplastic Agents,Tyrosine kinase inhibitors,
aflibercept,D,,Ophthalmic Drugs,,
agalsidase alfa,B2,,Metabolism,Agents used for the treatment of metabolic disorders,
agalsidase beta,B2,,Metabolism,Agents used for the treatment of metabolic disorders,
agomelatine,B1,,Central Nervous System,Antidepressants,
alatrofloxacin,B3,,Antimicrobials,Antibiotics,Quinolones
albendazole,D,"In animal studies albendazole is teratogenic in several species. Until human data are available, it must be suspected of being teratogenic.",Antimicrobials,Anthelmintics,
albutrepenonacog alfa,B2,,Cardiovascular System,Haemostatic agents,
alcuronium,B2,,Drugs Used in Anaesthesia,Neuromuscular blocking agents,
aldesleukin,C,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,,
alectinib,D,"Alectinib caused embryofetal lethality in rats and rabbits, visceral and skeletal anomalies in rats, and visceral malformation and skeletal variations in rabbits. ",Antineoplastic Agents,Tyrosine kinase inhibitors,
alefacept,C,,Allergy and Immune System,Immunomodifiers,
alemtuzumab,B2,,Antineoplastic Agents,Monoclonal antibodies,
alendronate,B3,,Endocrine System,Agents affecting calcium and bone metabolism,Bisphosphonates
alfentanil,C,Opioid analgesics may cause respiratory depression in the newborn infant. Withdrawal symptoms in newborn infants have been reported with prolonged use of this class of drugs.,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics
alfuzosin,B2,,Genitourinary System,Prostate hyperplasia,
alginates/antacids,A,,Alimentary System,"Hyperacidity, reflux, ulcers",
alglucerase,B3,,Metabolism,Agents used for the treatment of metabolic disorders,
alglucosidase alfa,B1,,Metabolism,Agents used for the treatment of metabolic disorders,
alimemazine,C,"When given in high doses during late pregnancy, phenothiazines have caused prolonged neurological disturbances in the infant.",Allergy and Immune System,Antihistamines,
alirocumab,B1,,Cardiovascular System,Hypolipidaemic agents,
aliskiren,D,"When used in pregnancy during the second and third trimesters, drugs that act directly on the renin-angiotensin system can cause injury and even death in the developing fetus. Although no adverse fetal effects have been linked to first trimester drug use of ARAs, the number of exposures reported is too small to determine conclusively that ARAs are safe in the first trimester. Pregnant women who are taking ARAs should be changed as quickly as possible to other antihypertensive medication to maintain normal blood pressure. It is generally advisable not to use ARAs for the management of hypertension in women who are likely to become pregnant.",Cardiovascular System,Antihypertensives,Angiotensin II receptor antagonists and renin inhibitors
allergen pollen extract of 5 grasses,B2,,Allergy and Immune System,,
allopurinol,B2,,Musculoskeletal System,Agents used in gout and hyperuricaemia,
alogliptin / metformin,C,It is important to achieve strict normoglycaemia during pregnancy.,Endocrine System,Hypoglycaemic agents,
alogliptin benzoate,B3,,Endocrine System,Hypoglycaemic agents,
alpelisib,D,"Based on animal data and its mechanism of action, alpelisib can cause fetal harm when administered to a pregnant woman. ",Antineoplastic Agents,,
alpha-1-proteinase inhibitor,B2,,Respiratory System,,
alprazolam,C,"Benzodiazepines may cause hypotonia, respiratory depression and hypothermia in the newborn infant if used in high doses during labour. Withdrawal symptoms in newborn infants have been reported with prolonged use of this class of drugs.",Central Nervous System,Benzodiazepines,
alprenolol,C,Beta-adrenergic blocking agents may cause pharmacological effects such as bradycardia in the fetus and newborn infant. ,Cardiovascular System,Beta-adrenergic blocking agents,
alteplase,B1,,Cardiovascular System,Fibrinolytic agents,
altretamine (hexamethylmelamine),D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,,
amantadine,B3,,Central Nervous System,Antiparkinson agents,
ambenonium chloride,B2,,Drugs Used in Myasthenia Gravis,,
ambrisentan,X,"Teratogenicity is a class effect of these agents, which induce multiple fetal abnormalities in animal studies. These drugs are likely to cause major birth defects if used during pregnancy.",Cardiovascular System,Endothelin receptor antagonist,
amethocaine (tetracaine),B2,,Ophthalmic Drugs,,
amifampridine,C,"Animal studies to assess the potential adverse effects of amifampridine  on embryofetal development have not been conducted. However, amifampridine may block potassium channels which also play a role in normal uterine smooth muscle function during gestation and parturition.",Central Nervous System,,
amifostine,B3,,Antineoplastic Agents,Non-cytotoxic supportive therapy,
amikacin,D,"There is evidence of selective uptake of aminoglycosides by the fetal kidney resulting in damage (probably reversible) to immature nephrons. Eighth cranial nerve damage has also been reported following in utero exposure to some of the aminoglycosides. Because of their chemical similarity, all aminoglycosides must be considered potentially nephrotoxic and ototoxic to the fetus. It should also be noted that therapeutic blood concentrations in the mother do not equate with safety for the fetus.",Antimicrobials,Antibiotics,Aminoglycosides
amiloride,C,Potassium sparing diuretics may cause an electrolyte disturbance in the fetus.,Cardiovascular System,Diuretics,Potassium sparing diuretics
aminocaproic acid,B3,,Cardiovascular System,Haemostatic agents,
aminoglutethimide,D,There have been reports of pseudohermaphrodism with use of this drug in pregnancy.,Antineoplastic Agents,Hormonal antineoplastic agents,
aminoglutethimide,D,There have been reports of pseudohermaphrodism with use of this drug in pregnancy.,Endocrine System,Hormonal agents,
aminolevulinic acid HCl,C,,Diagnostic Agents,,
amiodarone,C,"Because of the long half-life of amiodarone and its major metabolite, and the potential to cause abnormal thyroid function and bradycardia in the fetus, its use is probably best avoided in the three months before and throughout the duration of pregnancy. When exposure of the fetus is unavoidable, thyroid function (including TSH) should be assessed promptly in the newborn infant.",Cardiovascular System,Antiarrhythmics,
amisulpride,C,"There have been reports of agitation, hypertonia, hypotonia, tremor, somnolence, respiratory distress and feeding disorder in these neonates. These complications have varied in severity. While in some cases symptoms have been self-limited, in other cases neonates have required intensive care unit support and prolonged hospitalization. Amisulpride should be used during pregnancy only if the potential benefit justifies the potential risk to the fetus.",Central Nervous System,Antipsychotic drugs,
amitriptyline,C,Withdrawal symptoms in newborn infants have been reported with prolonged maternal use of tricyclic antidepressants.,Central Nervous System,Antidepressants,Tricyclic antidepressants
amivantamab,D,"IgG1 is known to cross the placent. Therefore, amivantamab has the potential to be transmitted from a pregnant patient to the developing fetus. Administration of other EGFR or MET inhibitor molecules to pregnant animals has resulted in an increased incidence of impairment of embryo-fetal development, embryolethality and abortion. ",Antineoplastic Agents,Monoclonal antibodies,
amlodipine,C,Calcium channel blockers carry the potential to produce fetal hypoxia associated with maternal hypotension.  ,Cardiovascular System,Antihypertensives,Calcium channel blockers
amlodipine / atorvastatin,D,"Calcium channel blockers carry the potential to produce fetal hypoxia associated with maternal hypotension.  Cholesterol and other products of the cholesterol biosynthesis pathway are essential components for fetal development, including synthesis of steroids and cell membranes. Because of the ability of inhibitors of HMG-CoA reductase to decrease the synthesis of cholesterol and possibly other products of the cholesterol biosynthesis pathway, these drugs may cause fetal harm when administered to a pregnant woman. The physiological hyperlipidaemia of pregnancy does not require treatment.",Cardiovascular System,,
amlodipine / hydrochlorothiazide /valsartan,D,"Calcium channel blockers carry the potential to produce fetal hypoxia associated with maternal hypotension.  When used in pregnancy during the second and third trimesters, drugs that act directly on the renin-angiotensin system can cause injury and even death in the developing fetus. Although no adverse fetal effects have been linked to first trimester drug use of ARAs, the number of exposures reported is too small to determine conclusively that ARAs are safe in the first trimester. Pregnant women who are taking ARAs should be changed as quickly as possible to other antihypertensive medication to maintain normal blood pressure. It is generally advisable not to use ARAs for the management of hypertension in women who are likely to become pregnant. Thiazides, related diuretics and loop diuretics may cause electrolyte disturbances in the fetus. Neonatal thrombocytopenia has been reported with thiazides and related diuretics. Loop diuretics, like frusemide and bumetanide, are probably also associated with this risk. During the latter part of pregnancy products of this type should only be given on sound indications, and then in the lowest effective dose.",Cardiovascular System,,
